speaker_last_name,speaker_first_name,speaker_home_institution_raw,matched_institution
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Boi,Steve,FNAL,Fermi National Accelerator Laboratory
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Huang,Shihua,Purdue,Purdue University
Edmonds,Andy,BU,Boston University
Pezzulo,Giani,Yale,Yale University
,,,
Murat,Pasha,FNAL,Fermi National Accelerator Laboratory
Elementi,Luciano,FNAL,Fermi National Accelerator Laboratory
Elementi,Luciano,FNAL,Fermi National Accelerator Laboratory
Kibbee,Riley,UCDavis,"University of California, Davis"
Boi,Steve,FNAL,Fermi National Accelerator Laboratory
Truong,Minh,CUNY,City University of New York
Solt,Matthew,UVa,University of Virginia
Huang,Shihua,Purdue,Purdue University
Huang,Shihua,Purdue,Purdue University
Bernstein,Bob,FNAL,Fermi National Accelerator Laboratory
Sanzani,Elisa,LNF,Laboratori Nazionali di Frascati
Paesani,Daniele,LNF,Laboratori Nazionali di Frascati
Solt,Matthew,Uva,University of Virginia
Devilbiss,Mackenzie,Umich,University of Michigan
Edmonds,Andy,BU,Boston University
Edmonds,Andy,BU,Boston University
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Sanzani,Elisa,LNF,Laboratori Nazionali di Frascati
Gargiulo,Ruben,LNF,Laboratori Nazionali di Frascati
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Paesani,Daniele,LNF,Laboratori Nazionali di Frascati
Branson,Rose,Yale,Yale University
Elementi,Luciano,FNAL?,Fermi National Accelerator Laboratory
Elementi,Luciano,FNAL?,Fermi National Accelerator Laboratory
https://indico.fnal.gov/event/45713/contributions/198492/,Nam,BU,Boston University
Ahmed,Waqar,Houston,University of Houston
Varier,Digvijay Roy,UCBerkeley,"University of California, Berkeley"
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Miller,Jim,BU,Boston University
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Huang,Shihua,Purdue,Purdue University
Shi,Xiaobing,Purdue,Purdue University
Devilbiss,Mackenzie,UMichigan,University of Michigan
Tassielli,Giovanni Francesco,INFN Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce"
Varier,Digvijay Roy,UCBerkeley,"University of California, Berkeley"
Chen,Jijun,Purdue,Purdue University
Roberts,Sydney,UVa,University of Virginia
Casler,Helenka,York/CUNY,York College/CUNY
Ciampa,Kate,UMinnesota,University of Minnesota
Lamm,Mike,FNAL,Fermi National Accelerator Laboratory
Koltick,Dave,Purdue,Purdue University
Hansen,Sten,FNAL,Fermi National Accelerator Laboratory
Musk,William,UVa,University of Virginia
Herman,Andrea,UCBerkeley,"University of California, Berkeley"
Vitali,Bastiano,INFN Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa"
Shen,Xiaohe,LBNL,Lawrence Berkeley National Laboratory
Hitlin,Dave,CalTech,California Institute of Technology
Bonventre,Richie,UCBerkeley,"University of California, Berkeley"
Truong,Nguyen,UC Davis,"University of California, Davis"
Kargiantoulakis,Manolis,FNAL,Fermi National Accelerator Laboratory
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory
Devilbiss,Mackenzie,Umichigan,University of Michigan
Donghia,Raffaella,INFN LNF,Laboratori Nazionali di Frascati
Kargiantoulakis,Manolis,FNAL,Fermi National Accelerator Laboratory
Ray,Ron,FNAL,Fermi National Accelerator Laboratory
Donghia,Raffaella,Frascati,Laboratori Nazionali di Frascati
Casler,Helenka,York,York College/CUNY
Casler,Helenka,York,York College/CUNY
Whalen,Michael,Yale,Yale University
Laffan,Clair,Yale,Yale University
Barker,Jana,FNAL,Fermi National Accelerator Laboratory
Boi,Stephen,UVA,University of Virginia
Miyashita,Tomo,Caltech,California Institute of Technology
Castiglia,Emma,Yale,Yale University
Archer,Avery,Purdue,Purdue University
Pezullo,Giani,Yale,Yale University
Powers,Rose,Yale,Yale University
Ciampa,Kate,Uminn,University of Minnesota
Bono,Jason,UMN,University of Minnesota
Miyashita,Tomo,Caltech,California Institute of Technology
Caiulo,Davide,Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa"
Donghia,Raffaella,LNF,Laboratori Nazionali di Frascati
Caron,Jean-Francois,Houston,University of Houston
Song,William,Berkeley,"University of California, Berkeley"
Pezzullo,Giani,Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa"
Bernstein,Bob,FNAL,Fermi National Accelerator Laboratory
Luca,Alessandra,FNAL,Fermi National Accelerator Laboratory
Farris,Peter,UVA,University of Virginia
Donghia,Raffaella,INFN/Roma Tre,"Instituto Nazionale di Fisica Nucleare, Roma"
Miyashita,Tomo,Caltech,California Institute of Technology
Uzunyan,Sergey,NIU,Northern Illinois University
Pezzullo,Giani,Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa"
Donghia,Raffaella,LNF and Roma Tre,"Instituto Nazionale di Fisica Nucleare, Roma"
Edmonds,Andy,LBL,Lawrence Berkeley National Laboratory
Kargiantoulakis,Manolis,FNAL,Fermi National Accelerator Laboratory
Palladino,Anthony,BU,Boston University
Roehrken,Markus,Caltech,California Institute of Technology
Bradascio,Frederica,FNAL,Fermi National Accelerator Laboratory
Quirk,John,BU,Boston University
Hitlin,Dave,Caltech,California Institute of Technology
Pettee,Mariel,Yale,Yale University
Boi,Steven,UVA,University of Virginia
Shresthra,Shruti,KSU,Kansas State University
Kargiantoulakis,Manolis,FNAL,Fermi National Accelerator Laboratory
Uzunyan,Sergey,NIU,Northern Illinois University
Quirk,John,BU,Boston University
Bono,Jason,Rice,Rice University
Palladino,Anthony,BU,Boston University
Aji,Danile,University of Houston,University of Houston
Danile,Aji,University of Houston,University of Houston
Jason,Bono,Rice,Rice University
Bono,Jason,Rice,Rice University
Jim,Popp,York College,York College/CUNY
Tomonari,Miyashita,Caltech,California Institute of Technology
Marc,Buehler,Fermilab,Fermi National Accelerator Laboratory
Markus,Roehrken,CalTech,California Institute of Technology
Markus,Roehrken,CalTech,California Institute of Technology
Franco,Grancagnolo,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce"
Anthony,Palladino,Bobston University,Boston University
Palladino,Anthony,Boston University,Boston University
Giobanni,Tassielli,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce"
Giovanni,Piacentino,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce"
Giovanni,Tassielli,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce"
Giovanni,Tassielli,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce"
Bob,Bernstein,Fermilab,Fermi National Accelerator Laboratory
Mike,Lamm,Fermilab,Fermi National Accelerator Laboratory
Lee,MyeoungJea,LBNL,Lawrence Berkeley National Laboratory
Hitlin,Dave,Caltech,California Institute of Technology
Pezullo,Giani,Yale,Yale University
Pezullo,Giani,Yale,Yale University
Bono,Jason,Rice,Rice University
Orduna,Jesus,Rice,Rice University
Richie,Bonvventre,UC Berlekey,"University of California, Berkeley"
Bonventre,Richie,UC Berkeley,"University of California, Berkeley"
Knoepfel,Kyle,Fermilab,Fermi National Accelerator Laboratory
Bernstein,Bob,Fermilab,Fermi National Accelerator Laboratory
Bernstein,Bob,Fermilab,Fermi National Accelerator Laboratory
Hitlin,Dave,Caltech,California Institute of Technology
Hitlin,Dave,Caltech,California Institute of Technology
Ray,Ron,Fermilab,Fermi National Accelerator Laboratory
Knoepfel,Kyle,Fermilab,Fermi National Accelerator Laboratory
Knoepfel,Kyle,Fermilab,Fermi National Accelerator Laboratory
Kasper,Peter,Fermilab,Fermi National Accelerator Laboratory
Cheng,Chih-Hisang,Caltech,California Institute of Technology
Lee,MyeoungJea,Berkeley,"University of California, Berkeley"
Lopes,Mau,FNAL,Fermi National Accelerator Laboratory
